"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  C,4,  , ST,   , ISM  ,  ROP,0.38,0.5,71.4,19.5, ILOF      , PERFORM INTER,"        "
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  D,5,  , ST,   , ISM  ,  ROP,0.02,0.2,28.56,7.8, BLADES    , REPLACE WIPER,"        "
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  E,6,  , ST,   , ISM  ,  ROP,0,0.1,5,3.9, TSK       , PLEASE INSTAL,"        "
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  F,7,  , ST,   , ISM  ,  ROP,0.01,0.1,8,3.9, LOCKS     , INSTALL WHEEL,"        "
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  G,8,  , ST,   , ISM  ,  ROP,1,0,100,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  H,9,  , ST,   , ISM  ,  ROP,0.45,0.5,50,19.5, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  I,10,  , ST,   , ISM  ,  ROP,0,0.4,40,15.6, ROTATE    , ROTATE TIRES ,"        "
,,,,,,,,,,,,,,,,,,
171664, 27MAY21, 27MAY21, S1,165515,  J,11,  , ST,   , ISM  ,  ROP,0.02,0.3,47.99,11.7, INCABIN   , REPLACE INCAB,"        "
,,,,,,,,,,,,,,,,,,
171680, 28MAY21,        , S1,165515,  G,8,  , ST,   , ISM  ,  ROP,0.55,1,71.4,39, REMOTE    , REPLACE REMOT,"        "
,,,,,,,,,,,,,,,,,,
171706, 28MAY21, 28MAY21, S1,165515,  A,1,  , ST,   , ISP  ,  ROP,0.13,0.7,120.91,27.3, NCP       , PERFORM NEW C,"        "
,,,,,,,,,,,,,,,,,,
171706, 28MAY21, 28MAY21, S1,165515,  C,5,  , ST,   , ISM  ,  ROP,0,0.1,5,3.9, TSK       , PLEASE INSTAL,"        "
,,,,,,,,,,,,,,,,,,
171706, 28MAY21, 28MAY21, S1,165515,  D,6,  , ST,   , ISM  ,  ROP,0.02,0.1,8,3.9, LOCKS     , INSTALL WHEEL,"        "
,,,,,,,,,,,,,,,,,,
171711, 28MAY21, 28MAY21, S1,165515,  A,1,  , ST,   , ISP  ,  ROP,0.33,0.7,120.91,27.3, NCP       , PERFORM NEW C,"        "
,,,,,,,,,,,,,,,,,,
171711, 28MAY21, 28MAY21, S1,165515,  C,5,  , ST,   , ISM  ,  ROP,0,0.1,5,3.9, TSK       , PLEASE INSTAL,"        "
,,,,,,,,,,,,,,,,,,
171711, 28MAY21, 28MAY21, S1,165515,  D,6,  , ST,   , ISM  ,  ROP,0,0.1,8,3.9, LOCKS     , INSTALL WHEEL,"        "
,,,,,,,,,,,,,,,,,,
171714, 28MAY21, 28MAY21, S1,165515,  A,1,  , ST,   , ISP  ,  ROP,0.33,0.7,120.91,27.3, NCP       , PERFORM NEW C,"        "
,,,,,,,,,,,,,,,,,,
171714, 28MAY21, 28MAY21, S1,165515,  C,5,  , ST,   , ISM  ,  ROP,0,0.1,5,3.9, TSK       , PLEASE INSTAL,"        "
,,,,,,,,,,,,,,,,,,
171714, 28MAY21, 28MAY21, S1,165515,  D,6,  , ST,   , ISM  ,  ROP,0.02,0.1,8,3.9, LOCKS     , INSTALL WHEEL,"        "
,,,,,,,,,,,,,,,,,,
171715, 27MAY21, 27MAY21, S1,165515,  A,1,  , ST,   , ISP  ,  ROP,0.45,0.7,120.91,27.3, NCP       , PERFORM NEW C,"        "
,,,,,,,,,,,,,,,,,,
171715, 27MAY21, 27MAY21, S1,165515,  C,5,  , ST,   , ISM  ,  ROP,0,0.1,5,3.9, TSK       , PLEASE INSTAL,"        "
,,,,,,,,,,,,,,,,,,
171715, 27MAY21, 27MAY21, S1,165515,  D,6,  , ST,   , ISM  ,  ROP,0,0.1,8,3.9, LOCKS     , INSTALL WHEEL,"        "
,,,,,,,,,,,,,,,,,,
171778, 28MAY21, 28MAY21, S1,165515,  A,1,  , ST,   , ISP  ,  ROP,0.28,0.7,120.91,27.3, NCP       , PERFORM NEW C,"        "
,,,,,,,,,,,,,,,,,,
171778, 28MAY21, 28MAY21, S1,165515,  C,5,  , ST,   , ISM  ,  ROP,0,0.1,5,3.9, TSK       , PLEASE INSTAL,"        "
,,,,,,,,,,,,,,,,,,
171778, 28MAY21, 28MAY21, S1,165515,  D,6,  , ST,   , ISM  ,  ROP,0.02,0.1,8,3.9, LOCKS     , INSTALL WHEEL,"        "
,,,,,,,,,,,,,,,,,,
        ,        ,        ,   ,     ***,   ,    ,  ,   ,   ,      ,     ,105.83,159.54,20523.07,6222.06,           ,              ,"        "
,,,,,,,,,,,,,,,,,,
167522, 28MAY21,        , S1,178894,  A,1,  , ST,   , ISM  ,  ROP,1.09,1,0,36.5, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
170242, 03MAY21, 04MAY21, S1,178894,  A,1,  , ST,   , WSM  ,  ROP,0.48,0.7,52.5,25.55,100661," performed 12,","        "
,,,,,,,,,,,,,,,,,,
170242, 03MAY21, 04MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.3,0.5,93.45,18.25, RECALL    , WRJ 20 recall,"        "
,,,,,,,,,,,,,,,,,,
170242, 03MAY21, 04MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170242, 04MAY21, 04MAY21, S1,178894,  C,3, *, ST,   , WS4  ,  ROP,0.2,0.3,56.07,10.95, RECALL    , WRD 21 recall,"        "
,,,,,,,,,,,,,,,,,,
170245, 11MAY21, 11MAY21, S1,178894,  A,1,  , ST,   , CSX  ,  ROP,0.34,0.7,69.72,25.55, 6K        ," OIL CHANGE, T","        "
,,,,,,,,,,,,,,,,,,
170245, 11MAY21, 11MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.61,0.5,93.46,18.25, BATTERY   , SEE TECH NOTE,"        "
,,,,,,,,,,,,,,,,,,
170245, 11MAY21, 11MAY21, S1,178894,  C,3,  , ST,   , WS4  ,  ROP,0.59,0.5,93.46,18.25, DIAG      , SEE TECH NOTE,"        "
,,,,,,,,,,,,,,,,,,
170245, 11MAY21, 11MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170268, 03MAY21, 04MAY21, S1,178894,  A,1,  , ST,   , WS4  ,  ROP,0.82,0.9,168.22,32.85, WRB21     , WRB21 17-18 F,"        "
,,,,,,,,,,,,,,,,,,
170268, 03MAY21, 04MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170281, 06MAY21, 06MAY21, S1,178894,  A,1,  , ST,   , CSX  ,  ROP,7.21,9,1607.88,328.5, DIAG      , SEE TECH NOTE,"        "
,,,,,,,,,,,,,,,,,,
170281, 06MAY21, 06MAY21, S1,178894,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170298, 03MAY21, 04MAY21, S1,178894,  F,6,  , ST,   , CSX  ,  ROP,0,0,-50,0, COUPON    , $99.95 ALIGNM,"        "
,,,,,,,,,,,,,,,,,,
170298, 04MAY21, 04MAY21, S1,178894,  B,1, *, ST,   , CSX  ,  ROP,0.86,2.5,596.88,91.25, 30KM      , PERFORM THE M,"        "
,,,,,,,,,,,,,,,,,,
170298, 04MAY21, 04MAY21, S1,178894,  C,2,  , ST,   , WS4  ,  ROP,1.78,1.9,355.13,69.35, STARLINK  , STARLINK UPDA,"        "
,,,,,,,,,,,,,,,,,,
170298, 04MAY21, 04MAY21, S1,178894,  C,7,  , ST,   , WS4  ,  ROP,0,0,0,0, GOODWILL  , THIS REPAIR I,"        "
,,,,,,,,,,,,,,,,,,
170298, 04MAY21, 04MAY21, S1,178894,  D,3,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170298, 04MAY21, 04MAY21, S1,178894,  E,4, *, ST,   , CSX  ,  ROP,1.2,2,160,73, M5120     , REPLACED ALL ,"        "
,,,,,,,,,,,,,,,,,,
170298, 04MAY21, 04MAY21, S1,178894,  F,5, *, ST,   , CSX  ,  ROP,0.89,1.7,149.95,62.05, 4WA       , PERFORM 4 WHE,"        "
,,,,,,,,,,,,,,,,,,
170311, 04MAY21, 05MAY21, S1,178894,  C,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170311, 05MAY21, 05MAY21, S1,178894,  A,1, *, ST,   , WS4  ,  ROP,1.06,1,186.91,36.5,100009, NO PROBLEM FO,"        "
,,,,,,,,,,,,,,,,,,
170333, 05MAY21, 27MAY21, S1,178894,  A,1, *, ST,   , WSAS ,  OPP,1.03,0,0,0, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170333, 05MAY21, 27MAY21, S1,178894,  B,2, *, ST,   , WSAS ,  OPP,0.2,0,0,0, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170333, 05MAY21, 27MAY21, S1,178894,  C,3,  , ST,   , WS4  ,  ROP,0.15,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170333, 05MAY21, 27MAY21, S1,178894,  D,4,  , ST,   , WS4  ,  ROP,0.75,1.5,280.37,54.75, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170333, 05MAY21, 27MAY21, S1,178894,  E,5,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170333, 27MAY21, 27MAY21, S1,178894,  A,1, *, ST,   , WS4  ,  ROP,0,1,186.91,36.5,100009, NO PROBLEM FO,"        "
,,,,,,,,,,,,,,,,,,
170333, 27MAY21, 27MAY21, S1,178894,  B,2, *, ST,   , WS4  ,  ROP,0,0.2,37.38,7.3,100009, NO PROBLEM FO,"        "
,,,,,,,,,,,,,,,,,,
170338, 04MAY21, 04MAY21, S1,178894,  A,1,  , ST,   , WS4  ,  ROP,0.14,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170338, 04MAY21, 04MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.66,1.5,280.37,54.75, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170338, 04MAY21, 04MAY21, S1,178894,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170350, 04MAY21, 04MAY21, S1,178894,  A,1,  , ST,   , CSR  ,  ROP,0.38,0.3,29.72,10.95, LOFS      , Perform Oil a,"        "
,,,,,,,,,,,,,,,,,,
170350, 04MAY21, 04MAY21, S1,178894,  B,2,  , ST,   , CSR  ,  ROP,0.97,2,442.8,73, RBR       , REPLACE REAR ,"        "
,,,,,,,,,,,,,,,,,,
170350, 04MAY21, 04MAY21, S1,178894,  C,3,  , ST,   , CSR  ,  ROP,0.2,0.4,0,14.6, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170350, 04MAY21, 04MAY21, S1,178894,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170354, 08MAY21, 11MAY21, S1,178894,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170354, 11MAY21, 11MAY21, S1,178894,  A,1, *, ST,   , WS4  ,  ROP,2.69,1.7,317.74,62.05,244301," OIL PAN, SEAL","        "
,,,,,,,,,,,,,,,,,,
170354, 11MAY21, 11MAY21, S1,178894,  B,2, *, ST,   , WS4  ,  ROP,0.63,0.6,112.15,21.9,100009, NO PROBLEM FO,"        "
,,,,,,,,,,,,,,,,,,
170361, 04MAY21, 11MAY21, S1,178894,  A,1,  , ST,   , ISM  ,  ROP,1.01,1,0,36.5, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170361, 04MAY21, 11MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170374, 04MAY21, 05MAY21, S1,178894,  A,1,  , ST,   , WS4  ,  ROP,0.28,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170374, 04MAY21, 05MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170401, 05MAY21,        , S1,178894,  A,1,  , ST,   , CSR  ,  ROP,1.07,2.5,610.18,91.25, WINDSHIELD, REPLACE FRONT,"        "
,,,,,,,,,,,,,,,,,,
170401, 05MAY21,        , S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170406, 07MAY21, 14MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
170406, 14MAY21, 14MAY21, S1,178894,  A,1, *, ST,   , WS4  ,  ROP,2.45,0.8,149.53,29.2, GOODWILL  , THIS REPAIR I,"        "
,,,,,,,,,,,,,,,,,,
170421, 07MAY21, 07MAY21, S1,178894,  A,1,  , ST,   , CSR  ,  ROP,2.9,4,937.14,146, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170421, 07MAY21, 07MAY21, S1,178894,  B,2,  , ST,   , CSR  ,  ROP,0,0,0,0, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170421, 07MAY21, 07MAY21, S1,178894,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170424, 05MAY21, 05MAY21, S1,178894,  A,1,  , ST,   , WS4  ,  ROP,1.09,1.5,280.37,54.75, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170424, 05MAY21, 05MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.15,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170424, 05MAY21, 05MAY21, S1,178894,  C,3,  , ST,   , CSR  ,  ROP,0.04,0.1,0,3.65, WIPER     , REMOVE AND RE,"        "
,,,,,,,,,,,,,,,,,,
170424, 05MAY21, 05MAY21, S1,178894,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170430, 05MAY21, 13MAY21, S1,178894,  A,1,  , ST,   , ISM  ,  ROP,0.79,1,36.5,36.5, DIAG      , see tech note,"        "
,,,,,,,,,,,,,,,,,,
170430, 05MAY21, 13MAY21, S1,178894,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170450, 06MAY21, 06MAY21, S1,178894,  A,1,  , ST,   , CSR  ,  ROP,0.25,0.3,29.72,10.95, LOFS      , Perform Oil a,"        "
,,,,,,,,,,,,,,,,,,
170450, 06MAY21, 06MAY21, S1,178894,  B,2,  , ST,   , CSR  ,  ROP,0.26,0.4,40,14.6, ROTATE    , ROTATE TIRES ,"        "
,,,,,,,,,,,,,,,,,,
170450, 06MAY21, 06MAY21, S1,178894,  C,3,  , ST,   , CSR  ,  ROP,0.82,1,200,36.5, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170450, 06MAY21, 06MAY21, S1,178894,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170453, 05MAY21, 11MAY21, S1,178894,  A,1,  , ST,   , ISM  ,  ROP,0.2,0.2,0,7.3, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170453, 05MAY21, 11MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0.47,0.5,0,18.25, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170453, 05MAY21, 11MAY21, S1,178894,  C,3,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170485, 06MAY21, 11MAY21, S1,178894,  A,1,  , ST,   , WS4  ,  ROP,0.22,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170485, 06MAY21, 11MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.68,1.1,205.6,40.15, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170485, 06MAY21, 11MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170491, 06MAY21,        , S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170491, 10MAY21,        , S1,178894,  A,1, *, ST,   , WS4  ,  ROP,0.65,0,190,0, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170497, 06MAY21, 06MAY21, S1,178894,  A,1,  , ST,   , CSR  ,  ROP,0.72,1,125.69,36.5, DIAG      , DIAGNOSIS FOR,"        "
,,,,,,,,,,,,,,,,,,
170497, 06MAY21, 06MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170508, 06MAY21, 06MAY21, S1,178894,  A,1,  , ST,   , CSR  ,  ROP,0.95,3,467.98,109.5, 30KM      , PERFORM THE M,"        "
,,,,,,,,,,,,,,,,,,
170508, 06MAY21, 06MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170509, 07MAY21, 07MAY21, S1,178894,  A,1,  , ST,   , CSX  ,  ROP,1.47,6.3,930.99,229.95, 30KP      , PERFORM THE P,"        "
,,,,,,,,,,,,,,,,,,
170509, 07MAY21, 07MAY21, S1,178894,  C,3,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170509, 07MAY21, 07MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0.8,1,199,36.5, MISC      , see tech note,"        "
,,,,,,,,,,,,,,,,,,
170515, 06MAY21, 07MAY21, S1,178894,  A,1,  , ST,   , WSM  ,  ROP,0.37,0.7,52.5,25.55,100661," performed 24,","        "
,,,,,,,,,,,,,,,,,,
170515, 06MAY21, 07MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.23,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170515, 06MAY21, 07MAY21, S1,178894,  C,3,  , ST,   , WS4  ,  ROP,0.85,1.1,205.6,40.15, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170515, 06MAY21, 07MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170523, 06MAY21, 07MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170523, 06MAY21, 07MAY21, S1,178894,  C,3,  , ST,   , CSR  ,  ROP,0.42,0.3,29.72,10.95, LOFS      , Perform Oil a,"        "
,,,,,,,,,,,,,,,,,,
170523, 07MAY21, 07MAY21, S1,178894,  A,1, *, ST,   , WS4  ,  ROP,1.35,3,560.73,109.5,182031, PASSENGER SID,"        "
,,,,,,,,,,,,,,,,,,
170560, 07MAY21, 11MAY21, S1,178894,  A,1,  , ST,   , WS4  ,  ROP,0.25,1,186.91,36.5, WUM98     , WUM98 - Fores,"        "
,,,,,,,,,,,,,,,,,,
170560, 07MAY21, 11MAY21, S1,178894,  C,3,  , ST,   , CSX  ,  ROP,0.22,0.4,29.72,14.6, LOF       , PERFORM OIL A,"        "
,,,,,,,,,,,,,,,,,,
170560, 07MAY21, 11MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0.25,0.3,40,10.95, ROTATE    , ROTATE TIRES ,"        "
,,,,,,,,,,,,,,,,,,
170560, 07MAY21, 11MAY21, S1,178894,  F,6,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170560, 07MAY21, 11MAY21, S1,178894,  H,8,  , ST,   , CSX  ,  ROP,1.68,2.2,398,80.3, RBR       , REPLACE REAR ,"        "
,,,,,,,,,,,,,,,,,,
170560, 07MAY21, 11MAY21, S1,178894,  I,9,  , ST,   , CSX  ,  ROP,0.23,0,0,0, WIPER     , REMOVE AND RE,"        "
,,,,,,,,,,,,,,,,,,
170560, 11MAY21, 11MAY21, S1,178894,  B,2, *, ST,   , WS4  ,  ROP,0.17,0.2,37.38,7.3,104208, WRB21 17-18 F,"        "
,,,,,,,,,,,,,,,,,,
170573, 07MAY21, 07MAY21, S1,178894,  A,1,  , ST,   , CSX  ,  ROP,1.66,3.5,699,127.75, DIAG      , SEE TECH NOTE,"        "
,,,,,,,,,,,,,,,,,,
170573, 07MAY21, 07MAY21, S1,178894,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170573, 07MAY21, 07MAY21, S1,178894,  C,3,  , ST,   , CSX  ,  ROP,0.05,0.3,58.5,10.95, INCABIN   , REPLACE INCAB,"        "
,,,,,,,,,,,,,,,,,,
170590, 07MAY21, 11MAY21, S1,178894,  A,1,  , ST,   , WS4  ,  ROP,0.33,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170590, 07MAY21, 11MAY21, S1,178894,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170590, 11MAY21, 11MAY21, S1,178894,  B,2, *, ST,   , WS4  ,  ROP,0.93,1.1,205.6,40.15, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170602, 08MAY21, 10MAY21, S1,178894,  A,1,  , ST,   , CSX  ,  ROP,1.64,2.5,565,91.25, DIAG      , see tech note,"        "
,,,,,,,,,,,,,,,,,,
170602, 08MAY21, 10MAY21, S1,178894,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170665, 08MAY21, 10MAY21, S1,178894,  A,1,  , ST,   , CSX  ,  ROP,0.31,0.7,69.72,25.55, 6K        ," oil change, t","        "
,,,,,,,,,,,,,,,,,,
170665, 08MAY21, 10MAY21, S1,178894,  B,2,  , ST,   , CSX  ,  ROP,0.01,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170678, 10MAY21, 14MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.5,0.5,93.46,18.25, BATTERY   , see tech note,"        "
,,,,,,,,,,,,,,,,,,
170678, 10MAY21, 14MAY21, S1,178894,  C,3,  , ST,   , CSX  ,  ROP,0,0,0,0, MISC      , see tech note,"        "
,,,,,,,,,,,,,,,,,,
170678, 10MAY21, 14MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170678, 14MAY21, 14MAY21, S1,178894,  A,1, *, ST,   , WS4  ,  ROP,0.2,0.2,37.38,7.3,104208, WRB21 17-18 F,"        "
,,,,,,,,,,,,,,,,,,
170685, 10MAY21, 11MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170685, 11MAY21, 11MAY21, S1,178894,  A,1, *, ST,   , WS4  ,  ROP,0.27,0.2,37.38,7.3,104208, WRB21 17-18 F,"        "
,,,,,,,,,,,,,,,,,,
170688, 10MAY21, 19MAY21, S1,178894,  A,1,  , ST,   , ISM  ,  ROP,0.76,0.8,0,29.2, GOODWILL  , THIS REPAIR I,"        "
,,,,,,,,,,,,,,,,,,
170688, 10MAY21, 19MAY21, S1,178894,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170694, 10MAY21, 11MAY21, S1,178894,  A,1,  , ST,   , WSM  ,  ROP,0.24,0.7,52.5,25.55,100661," PERFORMED 24,","        "
,,,,,,,,,,,,,,,,,,
170694, 10MAY21, 11MAY21, S1,178894,  B,2,  , ST,   , WS4  ,  ROP,0.16,0.3,56.07,10.95, WRD21     , WRD21 REAR ST,"        "
,,,,,,,,,,,,,,,,,,
170694, 10MAY21, 11MAY21, S1,178894,  C,3,  , ST,   , WS4  ,  ROP,0.37,1.1,205.6,40.15, WRE21     , WRE21 ECM/CID,"        "
,,,,,,,,,,,,,,,,,,
170694, 10MAY21, 11MAY21, S1,178894,  D,4,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170703, 10MAY21, 11MAY21, S1,178894,  B,2,  , ST,   , CSX  ,  ROP,0,0,0,0, SESINSP   , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170703, 11MAY21, 11MAY21, S1,178894,  A,1, *, ST,   , CSX  ,  ROP,2.07,3.2,560,116.8, DIAG      , see tech note,"        "
,,,,,,,,,,,,,,,,,,
170709, 13MAY21, 14MAY21, S1,178894,  A,1, *, ST,   , CSX  ,  ROP,1.3,2,452,73, DIAGNOSIS , DIAGNOSIS    ,"        "
,,,,,,,,,,,,,,,,,,
170709, 13MAY21, 14MAY21, S1,178894,  C,3,  , ST,   , CSR  ,  ROP,0.58,0.3,9.72,10.95, LOFS      , Perform Oil a,"        "
,,,,,,,,,,,,,,,,,,
170709, 13MAY21, 14MAY21, S1,178894,  D,4,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170709, 14MAY21, 14MAY21, S1,178894,  B,2, *, ST,   , WSAS ,  ROP,2.46,0.5,93.46,18.25,14001, COMPRESSOR R&,"        "
,,,,,,,,,,,,,,,,,,
